Time,Resistance(Ohm)
17:38:37.191,Short Circuit (0 ohm)
17:38:37.693,Short Circuit (0 ohm)
17:38:38.195,Short Circuit (0 ohm)
17:38:38.698,Short Circuit (0 ohm)
17:38:39.200,Short Circuit (0 ohm)
17:38:39.702,Short Circuit (0 ohm)
17:38:40.204,Short Circuit (0 ohm)
17:38:40.707,Short Circuit (0 ohm)
17:38:41.209,Short Circuit (0 ohm)
17:38:41.711,Short Circuit (0 ohm)
17:38:42.213,Short Circuit (0 ohm)
17:38:42.716,Short Circuit (0 ohm)
17:38:43.218,Short Circuit (0 ohm)
17:38:43.720,Short Circuit (0 ohm)
17:38:44.222,Short Circuit (0 ohm)
17:38:44.724,Short Circuit (0 ohm)
17:38:45.227,Short Circuit (0 ohm)
17:38:45.729,Short Circuit (0 ohm)
17:38:46.231,Short Circuit (0 ohm)
17:38:46.733,Short Circuit (0 ohm)
17:38:47.236,Short Circuit (0 ohm)
17:38:47.738,Short Circuit (0 ohm)
17:38:48.240,Short Circuit (0 ohm)
17:38:48.742,Short Circuit (0 ohm)
17:38:49.244,Short Circuit (0 ohm)
17:38:49.747,Short Circuit (0 ohm)
17:38:50.249,Short Circuit (0 ohm)
17:38:50.751,Short Circuit (0 ohm)
17:38:51.254,Short Circuit (0 ohm)
17:38:51.756,Short Circuit (0 ohm)
17:38:52.258,Short Circuit (0 ohm)
17:38:52.760,Short Circuit (0 ohm)
17:38:53.262,Short Circuit (0 ohm)
17:38:53.765,Short Circuit (0 ohm)
17:38:54.267,Short Circuit (0 ohm)
17:38:54.769,Short Circuit (0 ohm)
17:38:55.271,Short Circuit (0 ohm)
17:38:55.773,Short Circuit (0 ohm)
17:38:56.276,Short Circuit (0 ohm)
17:38:56.778,Short Circuit (0 ohm)
17:38:57.280,Short Circuit (0 ohm)
17:38:57.783,Short Circuit (0 ohm)
17:38:58.285,Short Circuit (0 ohm)
17:38:58.787,Short Circuit (0 ohm)
17:38:59.289,Short Circuit (0 ohm)
17:38:59.791,Short Circuit (0 ohm)
17:39:00.294,Short Circuit (0 ohm)
17:39:00.796,Short Circuit (0 ohm)
17:39:01.298,Short Circuit (0 ohm)
17:39:01.800,Short Circuit (0 ohm)
17:39:02.303,Short Circuit (0 ohm)
17:39:02.805,Short Circuit (0 ohm)
17:39:03.307,Short Circuit (0 ohm)
17:39:03.809,Short Circuit (0 ohm)
17:39:04.312,Short Circuit (0 ohm)
17:39:04.814,Short Circuit (0 ohm)
17:39:05.316,Short Circuit (0 ohm)
17:39:05.819,Short Circuit (0 ohm)
17:39:06.321,Short Circuit (0 ohm)
17:39:06.823,Short Circuit (0 ohm)
17:39:07.326,Short Circuit (0 ohm)
17:39:07.828,Short Circuit (0 ohm)
17:39:08.331,Short Circuit (0 ohm)
17:39:08.833,Short Circuit (0 ohm)
17:39:09.335,Short Circuit (0 ohm)
17:39:09.838,Short Circuit (0 ohm)
17:39:10.340,Short Circuit (0 ohm)
17:39:10.842,Short Circuit (0 ohm)
17:39:11.345,Short Circuit (0 ohm)
17:39:11.847,Short Circuit (0 ohm)
17:39:12.349,Short Circuit (0 ohm)
17:39:12.851,Short Circuit (0 ohm)
17:39:13.354,Short Circuit (0 ohm)
17:39:13.856,Short Circuit (0 ohm)
17:39:14.358,Short Circuit (0 ohm)
17:39:14.860,Short Circuit (0 ohm)
17:39:15.363,Short Circuit (0 ohm)
17:39:15.865,Short Circuit (0 ohm)
17:39:16.367,Short Circuit (0 ohm)
17:39:16.870,Short Circuit (0 ohm)
17:39:17.372,Short Circuit (0 ohm)
17:39:17.874,Short Circuit (0 ohm)
17:39:18.376,Short Circuit (0 ohm)
17:39:18.879,Short Circuit (0 ohm)
17:39:19.381,Short Circuit (0 ohm)
17:39:19.883,Short Circuit (0 ohm)
17:39:20.385,Short Circuit (0 ohm)
17:39:20.888,Short Circuit (0 ohm)
17:39:21.390,Short Circuit (0 ohm)
17:39:21.892,Short Circuit (0 ohm)
17:39:22.394,Short Circuit (0 ohm)
17:39:22.896,Short Circuit (0 ohm)
17:39:23.399,Short Circuit (0 ohm)
17:39:23.901,Short Circuit (0 ohm)
17:39:24.403,Short Circuit (0 ohm)
17:39:24.905,Short Circuit (0 ohm)
17:39:25.408,Short Circuit (0 ohm)
17:39:25.910,Short Circuit (0 ohm)
17:39:26.412,Short Circuit (0 ohm)
17:39:26.914,Short Circuit (0 ohm)
17:39:27.417,Short Circuit (0 ohm)
17:39:27.919,Short Circuit (0 ohm)
17:39:28.421,Short Circuit (0 ohm)
17:39:28.923,Short Circuit (0 ohm)
17:39:29.425,Short Circuit (0 ohm)
17:39:29.928,Short Circuit (0 ohm)
17:39:30.430,Short Circuit (0 ohm)
17:39:30.932,Short Circuit (0 ohm)
17:39:31.434,Short Circuit (0 ohm)
17:39:31.936,Short Circuit (0 ohm)
17:39:32.438,Short Circuit (0 ohm)
17:39:32.941,Short Circuit (0 ohm)
17:39:33.443,Short Circuit (0 ohm)
17:39:33.945,Short Circuit (0 ohm)
17:39:34.448,Short Circuit (0 ohm)
17:39:34.950,Short Circuit (0 ohm)
17:39:35.452,Short Circuit (0 ohm)
17:39:35.954,Short Circuit (0 ohm)
17:39:36.456,Short Circuit (0 ohm)
17:39:36.958,Short Circuit (0 ohm)
17:39:37.461,Short Circuit (0 ohm)
17:39:37.963,Short Circuit (0 ohm)
17:39:38.465,Short Circuit (0 ohm)
17:39:38.967,Short Circuit (0 ohm)
17:39:39.469,Short Circuit (0 ohm)
17:39:39.971,Short Circuit (0 ohm)
17:39:40.473,Short Circuit (0 ohm)
17:39:40.975,Short Circuit (0 ohm)
17:39:41.478,Short Circuit (0 ohm)
17:39:41.980,Short Circuit (0 ohm)
17:39:42.482,Short Circuit (0 ohm)
17:39:42.984,Short Circuit (0 ohm)
17:39:43.486,Short Circuit (0 ohm)
17:39:43.988,Short Circuit (0 ohm)
17:39:44.491,Short Circuit (0 ohm)
17:39:44.993,Short Circuit (0 ohm)
17:39:45.495,Short Circuit (0 ohm)
17:39:45.997,Short Circuit (0 ohm)
17:39:46.499,Short Circuit (0 ohm)
17:39:47.001,Short Circuit (0 ohm)
17:39:47.504,Short Circuit (0 ohm)
17:39:48.006,Short Circuit (0 ohm)
17:39:48.508,Short Circuit (0 ohm)
17:39:49.010,Short Circuit (0 ohm)
17:39:49.513,Short Circuit (0 ohm)
17:39:50.015,Short Circuit (0 ohm)
17:39:50.517,Short Circuit (0 ohm)
17:39:51.019,Short Circuit (0 ohm)
17:39:51.521,Short Circuit (0 ohm)
17:39:52.023,Short Circuit (0 ohm)
17:39:52.526,Short Circuit (0 ohm)
17:39:53.028,Short Circuit (0 ohm)
17:39:53.530,Short Circuit (0 ohm)
17:39:54.032,Short Circuit (0 ohm)
17:39:54.534,Short Circuit (0 ohm)
17:39:55.037,Short Circuit (0 ohm)
17:39:55.539,Short Circuit (0 ohm)
17:39:56.041,Short Circuit (0 ohm)
17:39:56.543,Short Circuit (0 ohm)
17:39:57.045,Short Circuit (0 ohm)
17:39:57.548,Short Circuit (0 ohm)
17:39:58.050,Short Circuit (0 ohm)
17:39:58.552,Short Circuit (0 ohm)
17:39:59.054,Short Circuit (0 ohm)
17:39:59.556,Short Circuit (0 ohm)
17:40:00.058,Short Circuit (0 ohm)
17:40:00.561,Short Circuit (0 ohm)
17:40:01.063,Short Circuit (0 ohm)
17:40:01.565,Short Circuit (0 ohm)
17:40:02.067,Short Circuit (0 ohm)
17:40:02.570,Short Circuit (0 ohm)
17:40:03.072,Short Circuit (0 ohm)
17:40:03.574,Short Circuit (0 ohm)
17:40:04.077,Short Circuit (0 ohm)
17:40:04.579,Short Circuit (0 ohm)
17:40:05.081,Short Circuit (0 ohm)
17:40:05.584,Short Circuit (0 ohm)
17:40:06.086,Short Circuit (0 ohm)
17:40:06.588,Short Circuit (0 ohm)
17:40:07.090,Short Circuit (0 ohm)
17:40:07.592,Short Circuit (0 ohm)
17:40:08.095,Short Circuit (0 ohm)
17:40:08.597,Short Circuit (0 ohm)
17:40:09.099,Short Circuit (0 ohm)
17:40:09.601,Short Circuit (0 ohm)
17:40:10.103,Short Circuit (0 ohm)
17:40:10.606,Short Circuit (0 ohm)
17:40:11.108,Short Circuit (0 ohm)
17:40:11.610,Short Circuit (0 ohm)
17:40:12.112,Short Circuit (0 ohm)
17:40:12.614,Short Circuit (0 ohm)
17:40:13.116,Short Circuit (0 ohm)
17:40:13.618,Short Circuit (0 ohm)
17:40:14.121,Short Circuit (0 ohm)
17:40:14.623,Short Circuit (0 ohm)
17:40:15.125,Short Circuit (0 ohm)
17:40:15.627,Short Circuit (0 ohm)
17:40:16.129,Short Circuit (0 ohm)
17:40:16.631,Short Circuit (0 ohm)
17:40:17.133,Short Circuit (0 ohm)
17:40:17.635,Short Circuit (0 ohm)
17:40:18.137,Short Circuit (0 ohm)
17:40:18.639,Short Circuit (0 ohm)
